SITE_ID,Visual Check,SITE_TYPE,FACILITY_SITE_NUMBER,SITE_NAME,REGION_NAME,STATE,COUNTY,CITY,SRP_LATITUDE,SRP_LONGITUDE,SRP_ELEVATION,SRPELEVATIONMETHOD,BOUNDARYARTCCID,BOUNDARYARTCCCOMPUTERID,BOUNDARYARTCCNAME,TIEINFSSID,TIEINFSSNAME,ATCT,MAGNETICVARIATION,MAGNETICVARIATIONYEAR,TRAFFICPATTERNALTITUDE,MILITARYJOINTUSE,BEACONSCHEDULE,UNICOMFREQUENCIES,CTAFFREQUENCY,SEGMENTEDCIRCLE,BEACONCOLOR,WINDINDICATOR,ICAOIDENTIFIER,ARFF_CERT_CLASS_CODE,CERT_139_TYPE,AIR_CARRIER_SCHEDULED_SERVICE,ARFF_CERT_MONTH,LANDING_FACILITY_SITE_NUMBER,RUNWAY_STATE_POST_OFFICE_CODE,RUNWAY_ID,PHYSICAL_RUNWAY_LENGTH,PHYSICAL_RUNWAY_WIDTH,RUNWAY_SURFACE_TYPE_CONDITION,Runway Surface,RUNWAY_SURFACE_TREATMENT,PCN,RUNWAY_LIGHTS_EDGE_INTENSITY,BASE_END_IDENTIFIER,RUNWAY_END_TRUE_ALIGNMENT,ILS_TYPE,RIGHT_HAND_TRAFFIC_PATTERN,RUNWAY_MARKINGS_TYPE,RUNWAY_MARKINGS_CONDITION,LATITUDE_RUNWAY_END,LONGITUDE_RUNWAY_END,ELEVATION_RUNWAY_END,THRESHOLD_CROSSING_HEIGHT,VISUAL_GLIDE_PATH_ANGLE,LATITUDE_DISPLACED_THRESHOLD,LONGITUDE_DISPLACED_THRESHLD,ELEVATION_DISPLACED_THRESHOLD,DISPLACED_THRESHOLD,ELEVATION_AT_TOUCHDOWN_ZONE,VISUAL_GLIDE_SLOPE_INDICATORS,RUNWAY_VISUAL_RANGE_EQUIPMENT,RUNWAY_VISIBLE_VALUE_EQUIPMENT,APPROACH_LIGHT_SYSTEM,REIL_AVAILABILITY,RUNWAY_CENTERLINE_LIGHTS_AVAIL,RUNWAY_END_TOUCHDOWN_LIGHTS_AV,CONTROLLING_OBJECT_DESCRIPTION,CONTROLLING_OBJECT_MARKED,OBJECTS_AFFECTING_NAVIGABLE_AS,CONTROLLING_OBJECT_CLEARANCE_S,HEIGHT_ABOVE_RUNWAY,DISTANCE_FROM_RUNWAY_END,CENTERLINE_OFFSET,RECIPROCAL_END_IDENTIFIER,REC_RUNWAY_END_TRUE_ALIGNMENT,REC_ILS_TYPE,RH_TRAFFIC_PATTERN_LANDING_AIR,REC_RUNWAY_MARKINGS_TYPE,REC_RUNWAY_MARKINGS_CONDITION,REC_LATITUDE_PHY_RUNWAY_END,REC_LONGITDE_PHY_RUNWAY_END,REC_ELEVATION_PHY_RUNWAY_END,REC_THRESHOLD_CROSSING_HEIGHT,REC_VISUAL_GLIDE_PATH_ANGLE,REC_LATITUDE_DISP_THRESHOLD,REC_LONGITUDE_DISP_THRESHOLD,REC_ELEVATION_DISP_THRESHOLD,REC_DISPLACED_THRESHOLD,REC_ELEVATION_TOUCHDOWN_ZONE,APPROACH_SLOPE_INDICATOR_EQUIP,REC_RUNWAY_VISUAL_RANGE_EQUIP,REC_RUNWAY_VISIBILITY_VALUE_EQ,REC_APPROACH_LIGHT_SYSTEM,REC_REIL_AVAILABILITY,REC_RUNWAY_CENTERLINE_LIGHTS_A,REC_RUNWAY_END_TOUCHDOWN_LIGHT,END_CONTROLLING_OBJECT_DESCRIP,END_CONTROLLING_OBJECT_MARKED,END_OBJECTS_AFFECTING_NAV_AIR,END_CONTROL_OBJECT_CLEAR_SLOPE,END_CONTROL_OBJECT_HEIGHT_AR,END_CO_DIST_FROM_RUNWAY_END,END_CO_CENTERLINE_OFFSET,RUNWAY_LENGTH_SOURCE,RUNWAY_LENGTH_SOURCE_DATE,RUNWAY_CAPACITY_SINGLE_WHEEL,RUNWAY_CAPACITY_DOUBLE_WHEEL,RUNWAY_CAPACITY_2_DUAL_TANDEM,RUNWAY_CAPACITY_2_DD_TANDEM,BASE_RUNWAY_END_GRADIENT,BASE_RUNWAY_END_GRADIENT_DIR,BASE_RUNWAY_END_POSITION_SRC,BASE_RUNWAY_END_POSITION_SDT,BASE_RUNWAY_END_ELEV_SRC,BASE_RUNWAY_END_ELEV_SDT,BASE_DISP_THESHOLD_POS_SRC,BASE_DISP_THESHOLD_POS_SDT,BASE_DISP_THESHOLD_ELEV_SRC,BASE_DISP_THESHOLD_ELEV_SDT,BASE_TD_ZONE_ELEV_SRC,BASE_TD_ZONE_ELEV_SDT,BASE_TORA,BASE_TODA,BASE_ASDA,BASE_LDA,BASE_LAHSO,BASE_INTERSECTING_RUNWAY_ID,BASE_DESC_NOT_AN_INTER_RUNWAY,BASE_LATITUDE_LAHSO,BASE_LONGITUDE_LAHSO,BASE_LAHSO_SOURCE,BASE_LAHSO_SOURCE_DATE,RECP_RUNWAY_END_GRADIENT,RECP_RUNWAY_END_GRADIENT_DIR,RECP_RUNWAY_END_POSITION_SRC,RECP_RUNWAY_END_POSITION_SDT,RECP_RUNWAY_END_ELEV_SRC,RECP_RUNWAY_END_ELEV_SDT,RECP_DISP_THESHOLD_POS_SRC,RECP_DISP_THESHOLD_POS_SDT,RECP_DISP_THESHOLD_ELEV_SRC,RECP_DISP_THESHOLD_ELEV_SDT,RECP_TD_ZONE_ELEV_SRC,RECP_TD_ZONE_ELEV_SDT,RECP_TORA,RECP_TODA,RECP_ASDA,RECP_LDA,RECP_LAHSO,RECP_INTERSECTING_RUNWAY_ID,RECP_DESC_NOT_AN_INTER_RUNWAY,RECP_LATITUDE_LAHSO,RECP_LONGITUDE_LAHSO,RECP_LAHSO_SOURCE,RECP_LAHSO_SOURCE_DATE,Surface
CDE,,HELIPORT,50080.6*H,CAPE DECISION LIGHTHOUSE,Alaskan,AK,WRANGELL-PETERSBURG,CAPE DECISION,56.00211111,-134.1353333,34,E,ZAN,ZAN,ANCHORAGE,SIT,SITKA,N,26E,1985,,N,,,,N,,N,,,,,,50080.6*H,AK,H1,70,70,WOOD,WOOD,,,,H1,,,N,BSC,G,56.00211111,-134.1353333,34,,,,,,,,,,N,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOOD
CSP,1,HELIPORT,50088.53*H,CAPE SPENCER C G,Alaskan,AK,SKAGWAY-YAKUTAT,CAPE SPENCER,58.19905556,-136.6388056,84,E,ZAN,ZAN,ANCHORAGE,JNU,JUNEAU,N,27E,1985,,N,,,,N,,Y,PACA,,,,,50088.53*H,AK,H1,50,50,WOOD,WOOD,,,,H1,,,N,BSC,F,58.19905556,-136.6388056,84,,,,,,,,,,N,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOOD
1AK0,,HELIPORT,50130.1*H,CRAIG CG,Alaskan,AK,PRINCE OF WALES,CRAIG,55.47519444,-133.1458333,20,E,ZAN,ZAN,ANCHORAGE,KTN,KETCHIKAN,N,26E,1985,,N,,,,N,,Y,,,,,,50130.1*H,AK,H1,70,70,WOOD,WOOD,,,,H1,,,N,NONE,,55.47519444,-133.1458333,20,,,,,,,,,,N,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOOD
AA03,,HELIPORT,50140.75*H,CENTRAL PAD,Alaskan,AK,NORTH SLOPE,DEADHORSE,70.17127778,-146.2585556,9.3,E,ZAN,ZAN,ANCHORAGE,SCC,DEADHORSE,N,23E,2010,,,,,122.9,,,Y-L,,,,,,50140.75*H,AK,H1,90,90,GRVL,GRVL,,,,H1,,,,,,70.17127778,-146.2585556,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,1/14/2009 0:00,,,,,,,OWNER,7/19/2011 0:00,OWNER,7/19/2011 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAVEL
72AK,,HELIPORT,50146.08*H,TROPHY LODGE,Alaskan,AK,FAIRBANKS NORTH STAR,DELTA JUNCTION,64.02708333,-145.6801667,1200,E,ZAN,ZAN,ANCHORAGE,FAI,FAIRBANKS,N,25E,2000,,,SEE RMK,,,N,CGY,,,,,,,50146.08*H,AK,H1,300,300,GRVL,GRVL,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAVEL
AK35,,HELIPORT,50146.07*H,BUFFALO ROW,Alaskan,AK,FAIRBANKS NORTH STAR,DELTA JUNCTION,64.03886111,-145.7389444,1180,E,ZAN,ZAN,ANCHORAGE,FAI,FAIRBANKS,N,25E,2000,,,SEE RMK,,,N,CGY,,,,,,,50146.07*H,AK,H1,300,300,GRVL,GRVL,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAVEL
DM2,1,HELIPORT,50156.5*H,DIOMEDE,Alaskan,AK,NOME,DIOMEDE,65.75861111,-168.9530556,20,E,ZAN,ZAN,ANCHORAGE,OME,NOME,N,14E,1995,,,,,123,N,,Y,PPDM,,,,,50156.5*H,AK,H1,64,64,CONC-G,CONC,,,,H1,,,,,,65.75858333,-168.9531389,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAA OE/AAA,6/23/2014 0:00,FAA OE/AAA,6/23/2014 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
ERO,,HELIPORT,50195.7*H,ELDRED ROCK CG,Alaskan,AK,SKAGWAY-YAKUTAT,ELDRED ROCK,58.97105556,-135.2373611,33,E,ZAN,ZAN,ANCHORAGE,JNU,JUNEAU,N,28E,1985,,N,,,,N,,N,,,,,,50195.7*H,AK,H1,70,70,WOOD,WOOD,,,,H1,,,N,BSC,F,58.97105556,-135.2373611,33,,,,,,,,,,N,,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOOD
2AK3,,HELIPORT,50228.4*H,FIVE FINGER CG,Alaskan,AK,JUNEAU,FIVE FINGER,57.26991667,-133.6314444,48,E,ZAN,ZAN,ANCHORAGE,SIT,SITKA,N,27E,1985,,N,,,,N,,Y,,,,,,50228.4*H,AK,H1,50,50,WOOD,WOOD,,,,H1,,,,BSC,G,57.26991667,-133.6314444,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOOD
8AK0,1,HELIPORT,50233.02*H,BACH HELIPAD,Alaskan,AK,FAIRBANKS NORTH STAR,FORT WAINWRITE,64.83083333,-147.6604444,453.1,E,ZAN,ZAN,ANCHORAGE,5WT,FAIRBANKS,N,,,,,,,,,,Y,,,,,,50233.02*H,AK,H1,150,150,CONC,CONC,,,MED,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONC
AK42,1,HELIPORT,50270.01*H,ALYESKA RESORT,Alaskan,AK,ANCHORAGE,GIRDWOOD,60.97,-149.1013889,283,E,ZAN,ZAN,ANCHORAGE,ENA,KENAI,N,,,,,,,,,,Y,,,,,,50270.01*H,AK,H1,56,56,MATS-E,MATS,,,PERI,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNER,3/3/2015 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MATS
0AA6,,HELIPORT,50296.2*H,BIG SALMON,Alaskan,AK,HAINES,HAINES,59.40305556,-136.0136111,292,E,ZAN,ZAN,ANCHORAGE,JNU,JUNEAU,N,,,,,,,,,,,,,,,,50296.2*H,AK,H1,50,50,TURF-DIRT,TURF,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TURF
AA35,,HELIPORT,50296.02*H,35 MILE LODGE,Alaskan,AK,HAINES,HAINES,59.43755556,-136.2293611,690,E,ZAN,ZAN,ANCHORAGE,SIT,SITKA,N,,,,,,,,,,,,,,,,50296.02*H,AK,H1,75,50,GRVL,GRVL,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STATE,3/13/2014 0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GRAVEL
7AK7,,HELIPORT,50308.01*H,ERA DENALI,Alaskan,AK,YUKON-KOYUKUK,HEALY,63.73841667,-148.8817222,1580,E,ZAN,ZAN,ANCHORAGE,ENA,KENAI,N,26E,1990,,,,,,N,,,,,,,,50308.01*H,AK,H1,20,20,WOOD,WOOD,,,,H1,,,,,,,,,,,,,,,,,,,,,,,,,A(V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOOD
7AK7,,HELIPORT,50308.01*H,ERA DENALI,Alaskan,AK,YUKON-KOYUKUK,HEALY,63.73841667,-148.8817222,1580,E,ZAN,ZAN,ANCHORAGE,ENA,KENAI,N,26E,1990,,,,,,N,,,,,,,,50308.01*H,AK,H3,20,20,WOOD,WOOD,,,,H3,,,,,,,,,,,,,,,,,,,,,,,,,A(V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOOD
7AK7,,HELIPORT,50308.01*H,ERA DENALI,Alaskan,AK,YUKON-KOYUKUK,HEALY,63.73841667,-148.8817222,1580,E,ZAN,ZAN,ANCHORAGE,ENA,KENAI,N,26E,1990,,,,,,N,,,,,,,,50308.01*H,AK,H4,20,20,WOOD,WOOD,,,,H4,,,,,,,,,,,,,,,,,,,,,,,,,A(V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOOD
7AK7,,HELIPORT,50308.01*H,ERA DENALI,Alaskan,AK,YUKON-KOYUKUK,HEALY,63.73841667,-148.8817222,1580,E,ZAN,ZAN,ANCHORAGE,ENA,KENAI,N,26E,1990,,,,,,N,,,,,,,,50308.01*H,AK,H2,20,20,WOOD,WOOD,,,,H2,,,,,,,,,,,,,,,,,,,,,,,,,A(V),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WOOD
