,Site Id,Facility Type,Loc Id,Effective Date,Region,ADO,State Id,State Name,County,County State,City,Name,Ownership,Use,Owner,Owner Address,"Owner City, State, Zip",Owner Phone,Manager,Manager Address,"Manager City, State, Zip",Manager Phone,DD_Latitudes,DD_Longitudes,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,ARP Method,Elevation,Elevation Method,Magnetic Variation,Magnetic Variation Year,Traffic Pattern Altitude,Sectional,Distance From CBD,Direction From CBD,Land Area,ARTCC Id,ARTCC Computer ID,ARTCC Name,Responsible ARTCC Id,Responsible ARTCC Computer Id,Responsible ARTCC Name,Tie In FSS,Tie In FSS Id,Tie In FSS Name,FSS Phone Number,FSS Toll Free Number,Alternate FSS Id,Alternate FSS Name,Alternate FSS Toll Free Number,NOTAM Facility Id,NOTAM Service,Activation Date,Airport Status Code,Certification Type Date,Federal Agreements,Airspace Determination,Customs Airport Of Entry,Customs Landing Rights,Military Joint Use,Military Landing Rights,Inspection Method,Inspection Group,Last Inspection Date,Last Owner Information Date,Fuel Types,Airframe Repair,Power Plant Repair,Bottled Oxygen Type,Bulk Oxygen Type,Lighting Schedule,Beacon Schedule,ATCT,UNICOM,CTAF,Segmented Circle,Beacon Color,Non Commercial Landing Fee,Medical Use,Single Engine Aircraft,Multi Engine Aircraft,Jet Engine Aircraft,Helicopters,Gliders Operational,Military Operational,Ultralights,Commercial Operations,Commuter Operations,Air Taxi Operations,GA Local Operations,GA Itin Operations,Military Operations,Operations Date,Airport Position Source,Airport Position Source Date,Airport Elevation Source,Airport Elevation Source Date,Fuel Available,Transient Storage,Other Services,Wind Indicator,Icao Id,NPIAS Hub,NPIAS Role
10,00841.*A,AIRPORT,NYL,3/24/2022,AWP,PHX,AZ,ARIZONA,YUMA,AZ,YUMA,YUMA MCAS/YUMA INTL,MN,PU,USMC & YUMA CO ARPT AUTH,"2356 E O'NEILL ST, BLDG 153","YUMA, AZ 85369-9114",928-269-3327,GREGORY MCSHANE / GLADYS BROWN,"2356 E O'NEILL ST, BLDG 153","YUMA, AZ 85369-9114",928-269-3327,32.65657389,-114.6059872,032-39-23.6700N,117563.6660N,114-36-21.5500W,0412581.5540W,E,213.3,S,13E,2000,,PHOENIX,3,S,3100,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,PRC,PRESCOTT,,1-800-WX-BRIEF,,,,NYL,Y,4/1/1940,O,I A S 05/1973,NGSY3,NOT ANALYZED,Y,Y,Y,N,F,F,1/30/2020,,100 A A+,MINOR,MINOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,119.3,N,CG,N,,48,12,2,0,,103,1,16299,,,68053,0,116202,12/31/2019,MILITARY,5/14/2014,MILITARY,5/14/2014,,TIE,"AFRT,AMB,AVNCS,CHTR,INSTR,RNTL",Y-L,KNYL,Non-Hub,
11,01353.*A,AIRPORT,BUR,3/24/2022,AWP,LAX,CA,CALIFORNIA,LOS ANGELES,CA,BURBANK,BOB HOPE,PU,PU,BURBANK-GLENDALE-PASADENA APT,2627 HOLLYWOOD WAY,"BURBANK, CA 91505",818-840-8840,"MICHAEL CRANE, OPERATIONS MANAGER",2627 HOLLYWOOD WAY,"BURBANK, CA 91505",(818) 565-1348,34.20069444,-118.3586667,034-12-02.5000N,123122.5000N,118-21-31.2000W,0426091.2000W,E,778,S,12E,2020,,LOS ANGELES,3,NW,555,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,BUR,Y,12/1/1942,O,I C S 05/1973,NGY,NOT ANALYZED,N,Y,N,Y,F,F,11/15/2018,,100LL A A+,NONE,NONE,HIGH,HIGH,,SS-SR,Y,122.95,,N,CG,N,,22,9,39,6,,,,49467,,22190,27157,28171,539,7/31/2020,3RD PARTY SURVEY,8/6/2017,3RD PARTY SURVEY,8/6/2017,,"HGR,TIE","AFRT,CARGO,CHTR,INSTR,RNTL,SALES",Y-L,KBUR,Medium,
12,02180.*A,AIRPORT,SDM,3/24/2022,AWP,LAX,CA,CALIFORNIA,SAN DIEGO,CA,SAN DIEGO,BROWN FLD MUNI,PU,PU,CITY OF SAN DIEGO,1424 CONTINENTAL ST,"SAN DIEGO, CA 92154",619-424-0455,ANDY SCHWARTZ,1424 CONTINENTAL ST,"SAN DIEGO, CA 92154",619-424-0456,32.57227778,-116.9801667,032-34-20.2000N,117260.2000N,116-58-48.6000W,0421128.6000W,E,526.1,S,14E,1980,,LOS ANGELES,13,SE,899,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,SAN,SAN DIEGO,,1-800-WX-BRIEF,,,,SDM,Y,3/1/1948,O,,NGPY,NO OBJECTION,Y,Y,N,Y,S,S,9/14/2021,,100LL A A+,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,128.25,Y,CG,N,,127,17,7,8,0,0,0,,,1670,64013,29339,5440,12/31/2020,3RD PARTY SURVEY,5/6/2017,3RD PARTY SURVEY,5/6/2017,,TIE,"AFRT,AVNCS,CARGO,CHTR,INSTR,PAJA,RNTL,SALES",Y-L,KSDM,,Regional
13,01348.*A,AIRPORT,2CL1,3/24/2022,AWP,SFO,CA,CALIFORNIA,YUBA,CA,BROWNSVILLE,BROWNSVILLE,PR,PR,SECOND GOLDEN FEATHER NEST LP,8618 NOTTINGHAM PLACE,"LA JOLLA, CA 92037-2937",858-452-9677,STEVEN BURGER,P.O. BOX 779,"BROWNSVILLE, CA 95919",530-675-9918,39.45522222,-121.2916389,039-27-18.8000N,142038.8000N,121-17-29.9000W,0436649.9000W,E,2120,E,16E,1985,800,SAN FRANCISCO,2,SW,26,ZOA,ZCO,OAKLAND,ZOA,ZCO,OAKLAND,N,RIU,RANCHO MURIETA,,1-800-WX-BRIEF,,,,,N,8/1/1965,O,,,NO OBJECTION,,,N,N,S,S,5/19/2011,11/3/2021,,,,NONE,NONE,,,N,,,Y,,N,,9,,,,,,,,,,1000,400,,4/30/2011,NGS,8/3/2002,,,,TIE,,Y,,,
14,01437.*A,AIRPORT,CCR,3/24/2022,AWP,SFO,CA,CALIFORNIA,CONTRA COSTA,CA,CONCORD,BUCHANAN FLD,PU,PU,CONTRA COSTA COUNTY,550 SALLY RIDE DR.,"CONCORD, CA 94520",(925) 681-4200,KEITH FREITAS,550 SALLY RIDE DR.,"CONCORD, CA 94520",(925) 681-4200,37.98965667,-122.0569022,037-59-22.7600N,136762.7640N,122-03-24.8500W,0439404.8480W,E,25.6,S,13E,2020,,SAN FRANCISCO,1,W,495,ZOA,ZCO,OAKLAND,ZOA,ZCO,OAKLAND,N,OAK,OAKLAND,,1-800-WX-BRIEF,,,,CCR,Y,7/1/1944,O,IV A U 05/1986,NGRY,NO OBJECTION,N,N,N,Y,F,F,8/6/2019,,100LL A1+,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,Y,122.95,119.7,Y,CG,N,,284,30,17,9,0,0,0,4,,4982,44764,40927,9,6/30/2019,3RD PARTY SURVEY,5/31/2018,3RD PARTY SURVEY,5/31/2018,,TIE,"AMB,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KCCR,,National
15,02385.*A,AIRPORT,CCB,3/24/2022,AWP,LAX,CA,CALIFORNIA,SAN BERNARDINO,CA,UPLAND,CABLE,PR,PU,CABLE LAND CO - A PARTNERSHIP,1749 WEST 13TH STREET,"UPLAND, CA 91786-2199",909-982-6021,STEPHEN DUNN,1749 WEST 13TH STREET,"UPLAND, CA 91786-2199",(951) 315-9224,34.11161111,-117.6873889,034-06-41.8000N,122801.8000N,117-41-14.6000W,0423674.6000W,E,1443.5,S,14E,2000,800,LOS ANGELES,2,NW,95,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,RAL,RIVERSIDE,,1-800-WX-BRIEF,,,,RAL,Y,9/1/1945,O,,NMY,NO OBJECTION,N,N,N,Y,S,S,10/28/2021,3/27/1984,100LL A,MAJOR,MAJOR,HIGH/LOW,HIGH/LOW,SEE RMK,SS-SR,N,123,123,N,CG,N,,157,5,0,2,4,0,0,,,,73751,18438,,9/30/2019,3RD PARTY SURVEY,2/23/2010,3RD PARTY SURVEY,2/23/2010,,TIE,"AVNCS,INSTR,RNTL,SALES",Y-L,KCCB,,Regional
16,01369.1*A,AIRPORT,CMA,3/24/2022,AWP,LAX,CA,CALIFORNIA,VENTURA,CA,CAMARILLO,CAMARILLO,PU,PU,COUNTY OF VENTURA,555 AIRPORT WAY,"CAMARILLO, CA 93010-8544",805-388-4372,KEITH FREITAS,"555 AIRPORT WAY, SUITE B","CAMARILLO, CA 93010-8544",805-388-4372,34.21375,-119.0943611,034-12-49.5000N,123169.5000N,119-05-39.7000W,0428739.7000W,E,76.8,S,14E,1990,800,LOS ANGELES,3,W,650,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,CMA,Y,12/1/1976,O,,NGPY,NO OBJECTION,N,N,,,S,S,5/4/2021,,100LL A,MAJOR,MAJOR,NONE,LOW,SEE RMK,SS-SR,Y,122.95,128.2,Y,CG,Y,,301,35,24,22,1,0,0,,,2460,34009,68443,3654,12/31/2020,NGS,2/7/2006,NGS,2/7/2006,,TIE,"AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KCMA,,National
17,01886.3*A,AIRPORT,MER,3/24/2022,AWP,SFO,CA,CALIFORNIA,MERCED,CA,ATWATER,CASTLE,PU,PU,MERCED COUNTY,2222 M STREET,"MERCED, CA 95340",209-385-7686,MARK MIMMS,2222 M STREET,"MERCED, CA 95340-4180",209-385-7686,37.38048444,-120.5681864,037-22-49.7400N,134569.7440N,120-34-05.4700W,0434045.4710W,E,190.4,S,15E,2000,,SAN FRANCISCO,3,NE,1360,ZOA,ZCO,OAKLAND,ZOA,ZCO,OAKLAND,N,RIU,RANCHO MURIETA,,1-800-WX-BRIEF,,,,MER,Y,7/1/1942,O,,N,NOT ANALYZED,N,N,,Y,S,S,4/30/2021,,100LL A A1,MINOR,MINOR,,,SEE RMK,SS-SR,Y,122.95,118.175,Y,CG,N,,53,16,0,2,0,0,0,0,,51,54884,47504,924,5/30/2019,3RD PARTY SURVEY,3/18/2018,3RD PARTY SURVEY,3/18/2018,,"HGR,TIE",,Y-L,KMER,,Local
18,01568.5*A,AIRPORT,L18,3/24/2022,AWP,LAX,CA,CALIFORNIA,SAN DIEGO,CA,FALLBROOK,FALLBROOK COMMUNITY AIRPARK,PU,PU,COUNTY OF SAN DIEGO,1960 JOE CROSSON DRIVE,"EL CAJON, CA 92020-1235",619-956-4800,MEADOW CHASE,2155 SOUTH MISSION ROAD,"FALLBROOK, CA 92028",760-723-8395,33.35416667,-117.2508333,033-21-15.0000N,120075.0000N,117-15-03.0000W,0422103.0000W,E,708,E,13E,1985,,LOS ANGELES,2,S,290,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,N,SAN,SAN DIEGO,,1-800-WX-BRIEF,,,,L18,Y,11/1/1964,O,,NPSY,NO OBJECTION,N,N,N,Y,S,S,10/19/2021,,100LL,MAJOR,MAJOR,HIGH/LOW,NONE,SEE RMK,SS-SR,N,,123.05,Y,CG,N,,93,4,0,0,1,0,0,,,,13660,7356,,12/31/2020,FAA,3/28/2016,OWNER,12/12/1996,,TIE,"INSTR,RNTL,SALES",Y,,,Local
19,01638.*A,AIRPORT,HAF,3/24/2022,AWP,SFO,CA,CALIFORNIA,SAN MATEO,CA,HALF MOON BAY,HALF MOON BAY,PU,PU,SAN MATEO COUNTY,"555 COUNTY CENTER, 5TH FLOOR","REDWOOD CITY, CA 94063-1665",650-573-3700,GRETCHEN KELLY,620 AIRPORT DRIVE,"SAN CARLOS, CA 94070",650-573-3700,37.51344444,-122.5011667,037-30-48.4000N,135048.4000N,122-30-04.2000W,0441004.2000W,E,66.3,S,15E,1995,933,SAN FRANCISCO,5,NW,325,ZOA,ZCO,OAKLAND,ZOA,ZCO,OAKLAND,N,OAK,OAKLAND,,1-800-WX-BRIEF,,,,OAK,Y,3/1/1943,O,,NGRY,NO OBJECTION,N,N,N,Y,S,S,1/15/2020,,100LL,MINOR,MINOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,12,1,0,0,0,0,0,,,150,25000,25000,,1/15/2020,NGS,12/1/2005,NGS,12/1/2005,,TIE,,Y-L,KHAF,,Basic
20,07675.255*A,AIRPORT,CN66,3/24/2022,AWP,SFO,CA,CALIFORNIA,ALAMEDA,CA,SAN SIMEON,HEARST SAN SIMEON AIRSTRIP,PR,PR,"HEARST HOLDINGS, INC.","5 THIRD STREET, SUITE 200","SAN FRANCISCO, CA 94103",415-777-0600,BENJAMIN HIGGINS,P.O. BOX 66,"SAN SIMEON, CA 93452",805-588-1538,35.66340972,-121.1984056,035-39-48.2700N,128388.2750N,121-11-54.2600W,0436314.2600W,E,207,E,,,,LOS ANGELES,1,NNW,,ZOA,ZCO,OAKLAND,ZOA,ZCO,OAKLAND,,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,,,8/1/2020,O,,,NO OBJECTION,,,,,,N,,,,NONE,NONE,NONE,NONE,,,N,,,N,,,,1,1,,1,1,,,,,,,,,,FAA-EST,8/14/2020,OWNER,8/11/2020,N,,,N,,,
21,01796.*A,AIRPORT,SLI,3/24/2022,AWP,LAX,CA,CALIFORNIA,ORANGE,CA,LOS ALAMITOS,LOS ALAMITOS AAF,MR,PR,US ARMY,"AASF, CAARNG, 4612 DOOLITTLE AVE","LOS ALAMITOS, CA 90720",562-795-2571,BASE OPS,,"LOS ALAMITOS, CA 90720",562-795-1351,33.79003,-118.05142,033-47-24.1100N,121644.1080N,118-03-05.1100W,0424985.1120W,E,35.5,S,12E,2020,,LOS ANGELES,1,SE,,ZLA,ZCL,LOS ANGELES,ZLA,ZCL,LOS ANGELES,,HHR,HAWTHORNE,,1-800-WX-BRIEF,,,,SLI,Y,4/1/1944,O,,,,,,,N,,N,,12/4/1975,A1+ J8,,,,,SS-SR,SS-SR,Y,,123.85,N,SCG,,,,,,,,,,,,,,,,,MILITARY,12/3/2010,MILITARY,12/3/2010,,,,,KSLI,,
