,Site Id,Facility Type,Loc Id,Effective Date,Region,ADO,State Id,State Name,County,County State,City,Name,Ownership,Use,Owner,Owner Address,"Owner City, State, Zip",Owner Phone,Manager,Manager Address,"Manager City, State, Zip",Manager Phone,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,ARP Method,Elevation,Elevation Method,Magnetic Variation,Magnetic Variation Year,Traffic Pattern Altitude,Sectional,Distance From CBD,Direction From CBD,Land Area,ARTCC Id,ARTCC Computer ID,ARTCC Name,Responsible ARTCC Id,Responsible ARTCC Computer Id,Responsible ARTCC Name,Tie In FSS,Tie In FSS Id,Tie In FSS Name,FSS Phone Number,FSS Toll Free Number,Alternate FSS Id,Alternate FSS Name,Alternate FSS Toll Free Number,NOTAM Facility Id,NOTAM Service,Activation Date,Airport Status Code,Certification Type Date,Federal Agreements,Airspace Determination,Customs Airport Of Entry,Customs Landing Rights,Military Joint Use,Military Landing Rights,Inspection Method,Inspection Group,Last Inspection Date,Last Owner Information Date,Fuel Types,Airframe Repair,Power Plant Repair,Bottled Oxygen Type,Bulk Oxygen Type,Lighting Schedule,Beacon Schedule,ATCT,UNICOM,CTAF,Segmented Circle,Beacon Color,Non Commercial Landing Fee,Medical Use,Single Engine Aircraft,Multi Engine Aircraft,Jet Engine Aircraft,Helicopters,Gliders Operational,Military Operational,Ultralights,Commercial Operations,Commuter Operations,Air Taxi Operations,GA Local Operations,GA Itin Operations,Military Operations,Operations Date,Airport Position Source,Airport Position Source Date,Airport Elevation Source,Airport Elevation Source Date,Fuel Available,Transient Storage,Other Services,Wind Indicator,Icao Id,NPIAS Hub,NPIAS Role,DD_Latitudes,DD_Longitudes
10,03264.*A,AIRPORT,NQX,2022-03-24,ASO,ORL,FL,FLORIDA,MONROE,FL,KEY WEST,KEY WEST NAS/BOCA CHICA FLD,MN,PR,US NAVY,OCEANOGRAPHIC OFC-CODE 3142,"WASHINGTON, DC 20373",,COMMANDING OFFICER,NAVAL AIR STATION,"KEY WEST, FL 33040",305-293-2770,024-34-28.6900N,088468.6935N,081-41-11.9200W,0294071.9236W,E,5.7,E,06W,2020,,MIAMI,4,E,,ZMA,ZCR,MIAMI,ZMA,ZCR,MIAMI,N,MIA,MIAMI,,1-800-WX-BRIEF,,,,MIA,Y,1944-02-01,O,,,,,,,N,,N,,1976-08-13,J5,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,Y,,,N,SCG,,,,,,,,,,,,,,,,,MILITARY,2011-11-30,MILITARY,2011-11-30,,,,,KNQX,,,24.574637083333332,-81.68664544444444
11,04072.*A,AIRPORT,VAD,2022-03-24,ASO,ATL,GA,GEORGIA,LOWNDES,GA,VALDOSTA,MOODY AFB,MA,PR,USAF,MOODY AFB,"VALDOSTA, GA 31601",,CHIEF OF AFLD MANAGEMENT,MOODY AFB,"VALDOSTA, GA 31601",,030-58-07.3200N,111487.3200N,083-11-34.6700W,0299494.6700W,E,233.2,E,03W,1990,,JACKSONVILLE,9,NE,,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,MCN,MACON,,1-800-WX-BRIEF,,,,VAD,Y,1943-10-01,O,,,NOT ANALYZED,N,N,,N,,N,,2012-07-24,,MAJOR,MAJOR,NONE,LOW,SEE RMK,SS-SR,Y,,128.45,N,CG,,,,,,,,,,,,,,,80392.0,,MILITARY,2010-09-30,MILITARY,2007-10-01,,,CARGO,Y,KVAD,,,30.968700000000002,-83.19296388888888
12,04088.*A,AIRPORT,WRB,2022-03-24,ASO,ATL,GA,GEORGIA,HOUSTON,GA,WARNER ROBINS,ROBINS AFB,MA,PR,USAF,ROBINS AFB,"WARNER ROBINS, GA 31093",,AIR FIELD MGR/653 RD OSS/OSA,ROBINS AFB;250 EAGLE ST,"WARNER ROBINS, GA 31098-2602",478-926-2081,032-38-24.6100N,117504.6150N,083-35-30.9100W,0300930.9150W,E,294.1,E,02W,1985,,ATLANTA,10,SE,,ZTL,ZCT,ATLANTA,ZTL,ZCT,ATLANTA,N,MCN,MACON,,1-800-WX-BRIEF,,,,WRB,Y,1943-09-01,O,,,NOT ANALYZED,N,N,N,N,,N,,2012-07-24,A++,NONE,MAJOR,,HIGH/LOW,,SS-SR,Y,,,N,CG,,,,,,,,,,,,,,,47354.0,,MILITARY,,MILITARY,2003-03-02,,,CARGO,Y,KWRB,,,32.640170833333336,-83.59192083333332
13,04268.*A,AIRPORT,MUO,2022-03-24,ANM,HLN,ID,IDAHO,ELMORE,ID,MOUNTAIN HOME,MOUNTAIN HOME AFB,MA,PR,USAF,"347 CS GROUP, MT HOME AFB","MOUNTAIN HOME, ID 83648",,BASE OPERATIONS (OTB),"347 CS GROUP, MT HOME AFB","MOUNTAIN HOME, ID 83648",208-828-2222,043-02-36.9500N,154956.9500N,115-52-20.7600W,0417140.7600W,E,2996.3,S,13E,2015,,SALT LAKE CITY,10,SW,,ZLC,ZCU,SALT LAKE CITY,ZLC,ZCU,SALT LAKE CITY,N,BOI,BOISE,,1-800-WX-BRIEF,,,,MUO,Y,1944-02-01,O,,,NOT ANALYZED,N,N,N,N,,N,,1976-09-09,,,,NONE,HIGH/LOW,SS-SR,SS-SR,Y,,,N,CG,,,,,,,,,,,,,,,,,MILITARY,2013-11-14,MILITARY,2016-04-05,,HGR,CARGO,Y,KMUO,,,43.043597222222225,-115.87243333333335
14,07443.12*A,AIRPORT,BAD,2022-03-24,ASW,LNM,LA,LOUISIANA,BOSSIER,LA,BOSSIER CITY,BARKSDALE AFB,MA,PR,USAF,BARKSDALE AFB,"SHREVEPORT, LA 71110",,BASE COMMANDER,BARKSDALE AFB,"SHREVEPORT, LA 71110",318-456-3226,032-30-06.9600N,117006.9600N,093-39-45.4600W,0337185.4600W,E,165.2,S,02E,2015,,MEMPHIS,3,E,,ZFW,ZCF,FORT WORTH,ZFW,ZCF,FORT WORTH,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,DRI,Y,1941-05-01,O,,,NOT ANALYZED,N,N,,N,,N,,1976-09-09,A++,MAJOR,MAJOR,NONE,LOW,SS-SR,SS-SR,Y,,,N,SCG,N,,,,,,,2.0,,,,,,,,,MILITARY,2011-11-03,MILITARY,2013-02-11,,,CARGO,Y,KBAD,,,32.501933333333334,-93.66262777777779
15,07673.*A,AIRPORT,NBG,2022-03-24,ASW,LNM,LA,LOUISIANA,JEFFERSON,LA,NEW ORLEANS,NEW ORLEANS NAS JRB (ALVIN CALLENDER FLD),MN,PR,U S NAVY,OCEANOGRPAHIC OFC-CODE 3142,"WASHINGTON, D C 20373",,COMMANDING OFFICER,NAS NEW ORLEANS,"NEW ORLEANS, LA 70146",,029-49-37.9700N,107377.9740N,090-01-35.7300W,0324095.7260W,E,2.1,E,00E,2010,,NEW ORLEANS,3,S,,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,DRI,DE RIDDER,,1-800-WX-BRIEF,,,,NBG,Y,1940-04-01,O,,,,Y,,N,N,,N,,1976-08-13,,NONE,NONE,NONE,NONE,SEE RMK,SS-SR,Y,,,N,SCG,,,,,,,,,,,,,,,,,MILITARY,2016-01-28,MILITARY,2009-07-14,,,,,KNBG,,,29.827215,-90.02659055555556
16,10115.*A,AIRPORT,MTC,2022-03-24,AGL,DET,MI,MICHIGAN,MACOMB,MI,MOUNT CLEMENS,SELFRIDGE ANGB,MA,PR,USAF,"MI ANG, SELFRIDGE ANGB","MT CLEMENS, MI 48045",586-239-5322,CHIEF OF AFLD MANAGEMENT,"MI ANG, SELFRIDGE ANGB","MT CLEMENS, MI 48045",586-239-4115,042-36-50.0200N,153410.0170N,082-50-12.8700W,0298212.8750W,E,579.5,S,06W,1985,,DETROIT,2,NE,,ZOB,ZCC,CLEVELAND,ZOB,ZCC,CLEVELAND,N,LAN,LANSING,,1-800-WX-BRIEF,,,,MTC,Y,1941-05-01,O,,,NOT ANALYZED,N,N,N,N,,N,,2012-12-18,,MAJOR,MAJOR,NONE,HIGH/LOW,SEE RMK,SS-SR,Y,,,N,CG,,,,,,,,1.0,,,,,,,37200.0,,MILITARY,2012-03-02,MILITARY,2010-07-01,,HGR,CARGO,Y,KMTC,,,42.61389361111111,-82.83690972222222
17,11147.*A,AIRPORT,BIX,2022-03-24,ASO,JAN,MS,MISSISSIPPI,HARRISON,MS,BILOXI,KEESLER AFB,MA,PR,USAF,"HQ TECH TRNG CTR, KEESLER AFB","BILOXI, MS 39534",,CHIEF OF AFLD MANAGEMENT,"HQ TECH TRNG CTR, KEESLER AFB","BILOXI, MS 39534",228-377-2123,030-24-37.5400N,109477.5360N,088-55-27.9700W,0320127.9670W,E,32.6,S,02W,2020,,NEW ORLEANS,0,W,,ZHU,ZCH,HOUSTON,ZHU,ZCH,HOUSTON,N,GWO,GREENWOOD,,1-800-WX-BRIEF,,,,BIX,Y,1940-04-01,O,,,NOT ANALYZED,N,N,,N,,N,,2021-10-01,A++,MAJOR,MAJOR,NONE,LOW,SS-SR,SS-SR,Y,,,N,CG,,,,,,,,,,,,,,,33600.0,,MILITARY,2019-03-31,MILITARY,2019-03-31,,HGR,CARGO,Y,KBIX,,,30.410426666666662,-88.92443527777779
18,16723.03*A,AIRPORT,POB,2022-03-24,ASO,MEM,NC,NORTH CAROLINA,CUMBERLAND,NC,FAYETTEVILLE,POPE AAF,MR,PR,POPE AAF,"BASE OPERATIONS, 393 SURVEYUR ST BLDG 708","FAYETTEVILLE, NC 28308",910-396-0011,AIRFIELD MANAGEMENT,"POPE FIELD, 393 SURVEYUR ST BLDG 708","FAYETTEVILLE, NC 28308",910-396-0371,035-10-15.2000N,126615.2010N,079-00-52.1900W,0284452.1880W,E,218.0,E,07W,1985,,CHARLOTTE,12,NW,,ZDC,ZCW,WASHINGTON,ZDC,ZCW,WASHINGTON,N,RDU,RALEIGH,,1-800-WX-BRIEF,,,,POB,Y,,O,,,NOT ANALYZED,N,N,,N,,N,,2013-01-09,A,MINOR,MINOR,NONE,LOW,,SS-SR,Y,,,N,CG,,,1.0,10.0,2.0,,,3.0,,,,,,,112000.0,,FAA,2013-03-22,MILITARY,2018-04-11,,HGR,CARGO,Y,KPOB,,,35.17088916666666,-79.01449666666667
19,14577.*A,AIRPORT,CVS,2022-03-24,ASW,LNM,NM,NEW MEXICO,CURRY,NM,CLOVIS,CANNON AFB,MA,PR,MAPRUSAF,27TH CS GP TAC/OTM CANNON AFB,"CLOVIS, NM 88101",575-784-2801,BASE OPERATIONS,27TH CS GP TAC/OTB CANNON AFB,"CANNON AFB, NM 88101",575-784-2801,034-22-57.9900N,123777.9884N,103-19-19.7400W,0371959.7383W,E,4295.0,S,07E,2015,,ALBUQUERQUE,5,W,,ZAB,ZCA,ALBUQUERQUE,ZAB,ZCA,ALBUQUERQUE,N,ABQ,ALBUQUERQUE,,1-800-WX-BRIEF,,,,CVS,Y,1938-11-01,O,,3.0,NOT ANALYZED,,,N,N,,N,,1976-09-09,A A++,MAJOR,MAJOR,,,SS-SR,SS-SR,Y,,,N,CG,,,,,,,,1.0,,,,,,,,,FAA-EST,2012-04-27,,,,,,,KCVS,,,34.38277455555556,-103.32214952777778
20,14525.*A,AIRPORT,HMN,2022-03-24,ASW,LNM,NM,NEW MEXICO,OTERO,NM,ALAMOGORDO,HOLLOMAN AFB,MA,PR,USAF,49TH CSG/TAC/,"HOLLOMAN AFB, NM 88330",,BASE OPERATIONS,49TH CSG/TAC/,"HOLLOMAN AFB, NM 88330",575-572-5411,032-51-06.6900N,118266.6900N,106-06-30.7500W,0381990.7500W,E,4093.0,E,10E,1990,,ALBUQUERQUE,6,SW,,ZAB,ZCA,ALBUQUERQUE,ZAB,ZCA,ALBUQUERQUE,N,ABQ,ALBUQUERQUE,,1-800-WX-BRIEF,,,,HMN,Y,1942-06-01,O,,,NOT ANALYZED,,,N,N,,N,,1977-02-10,,MAJOR,MAJOR,NONE,HIGH/LOW,SS-SR,SS-SR,Y,,,N,CG,,,,,,,,1.0,,,,,,,,,DOD (NGA),2021-08-06,MILITARY,2017-09-14,,,,Y,KHMN,,,32.85185833333333,-106.10854166666665
21,17827.*A,AIRPORT,FFO,2022-03-24,AGL,DET,OH,OHIO,GREENE,OH,DAYTON,WRIGHT-PATTERSON AFB,MA,PR,US AIR FORCE,WRIGHT-PATTERSON AFB,"DAYTON, OH 45433",937-257-2131,BASE COMMANDER,WRIGHT PATTERSON AFB,"DAYTON, OH 45433",937-257-2131,039-49-33.4900N,143373.4939N,084-02-45.9700W,0302565.9702W,E,823.3,S,04W,1990,,CINCINNATI,8,NE,,ZID,ZCI,INDIANAPOLIS,ZID,ZCI,INDIANAPOLIS,N,DAY,DAYTON,,1-800-WX-BRIEF,,,,FFO,Y,1943-08-01,O,,,NOT ANALYZED,N,N,,N,,N,,2013-10-02,,MAJOR,MAJOR,NONE,HIGH/LOW,,SS-SR,Y,,,N,CG,N,,,,,,,9.0,,,,,,,,,FAA,2011-04-25,,,,HGR,CARGO,Y,KFFO,,,39.825970527777784,-84.04610283333332
22,19135.*A,AIRPORT,TIK,2022-03-24,ASW,AOK,OK,OKLAHOMA,OKLAHOMA,OK,OKLAHOMA CITY,TINKER AFB,MA,PR,U.S. AIR FORCE,2854TH AIR BASE GP(AFLC),"TINKER AFB,OK.CITY, OK 73145",,CHIEF AIRFIELD MANAGEMENT,2854TH AIR BASE GP(AFLC),"TINKER AFB OK. CITY, OK 73145",405-732-1110,035-24-53.1000N,127493.1000N,097-23-11.9000W,0350591.9000W,E,1290.6,S,03E,2020,,DALLAS-FT WORTH,8,SE,,ZFW,ZCF,FORT WORTH,ZFW,ZCF,FORT WORTH,N,MLC,MC ALESTER,,1-800-WX-BRIEF,,,,MLC,Y,1943-07-01,O,,,NOT ANALYZED,N,N,,N,,N,,2021-10-01,,MAJOR,MAJOR,LOW,HIGH/LOW,SS-SR,SS-SR,Y,,,N,CG,,,,,,,,,,,,,,,73200.0,,3RD PARTY SURVEY,2012-05-16,3RD PARTY SURVEY,2012-05-16,,HGR,CARGO,Y,KTIK,,,35.41475,-97.3866388888889
23,18954.*A,AIRPORT,END,2022-03-24,ASW,AOK,OK,OKLAHOMA,GARFIELD,OK,ENID,VANCE AFB,MA,PR,U.S. AIR FORCE,"71 FTW, VANCE AFB","ENID, OK 73705",580-213-7101,LAWRENCE FRANKLIN,"71FTW  VANCE AFB, VANCE AFB","ENID, OK 73705",580-213-7424,036-20-23.3000N,130823.3010N,097-55-02.0600W,0352502.0620W,E,1312.7,S,05E,2010,,WICHITA,3,S,,ZKC,ZCK,KANSAS CITY,ZKC,ZCK,KANSAS CITY,N,MLC,MC ALESTER,,1-800-WX-BRIEF,,,,MLC,Y,1943-07-01,O,,,NOT ANALYZED,N,N,N,N,,N,,2013-01-21,,MAJOR,MAJOR,LOW,LOW,SS-SR,SS-SR,Y,,,N,CG,,,,,,,,2.0,,,,,,,100000.0,,MILITARY,2019-04-09,MILITARY,2019-04-09,,HGR,CARGO,Y,KEND,,,36.33980583333334,-97.91723944444445
24,22124.*A,AIRPORT,NBC,2022-03-24,ASO,ATL,SC,SOUTH CAROLINA,BEAUFORT,SC,BEAUFORT,BEAUFORT MCAS/MERRITT FLD,MN,PR,US NAVY,OCEANOGRAPHIC OFC-CODE 3142,"WASHINGTON, DC 20373",,COMMANDING OFFICER,MARINE CORPS AIR STATION,"BEAUFORT, SC 29902",,032-28-50.0400N,116930.0403N,080-43-09.2800W,0290589.2789W,E,37.1,S,05W,1990,,CHARLOTTE,3,NW,,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,AND,ANDERSON,,1-800-WX-BRIEF,,,,NBC,Y,1943-10-01,O,,,,,,,N,,N,,2012-07-24,,,,NONE,HIGH/LOW,SEE RMK,SS-SR,Y,,,N,SCG,,,,,,,,,,,,,,,,,MILITARY,2012-08-01,MILITARY,2012-08-01,,,,Y,KNBC,,,32.48056675,-80.71924413888888
25,22253.*A,AIRPORT,MMT,2022-03-24,ASO,ATL,SC,SOUTH CAROLINA,RICHLAND,SC,EASTOVER,MC ENTIRE JNGB,MA,PR,U.S. AIR FORCE,MCENTIRE ANGB,"COLUMBIA, SC 29044",803-776-5121,CHIEF AIRFIELD MANAGEMENT,MCENTIRE ANGB,"COLUMBIA, SC 29044",803-647-8231,033-55-14.7700N,122114.7734N,080-48-04.1100W,0290884.1120W,E,254.0,S,08W,2020,,CHARLOTTE,10,E,1000.0,ZJX,ZCJ,JACKSONVILLE,ZJX,ZCJ,JACKSONVILLE,N,AND,ANDERSON,,1-800-WX-BRIEF,,,,MMT,Y,1943-04-01,O,,,NOT ANALYZED,N,N,,N,,N,,2012-07-24,100 A,MINOR,MINOR,NONE,LOW,SEE RMK,SEE RMK,Y,,132.4,N,CG,,,,1.0,30.0,50.0,,,,,,,,,74320.0,,FAA-EST,2012-04-26,NGS,2005-09-12,,HGR,,,KMMT,,,33.92077038888889,-80.80114222222223
