,Site Id,Facility Type,Loc Id,Effective Date,Region,ADO,State Id,State Name,County,County State,City,Name,Ownership,Use,Owner,Owner Address,"Owner City, State, Zip",Owner Phone,Manager,Manager Address,"Manager City, State, Zip",Manager Phone,ARP Latitude,ARP Latitude Sec,ARP Longitude,ARP Longitude Sec,ARP Method,Elevation,Elevation Method,Magnetic Variation,Magnetic Variation Year,Traffic Pattern Altitude,Sectional,Distance From CBD,Direction From CBD,Land Area,ARTCC Id,ARTCC Computer ID,ARTCC Name,Responsible ARTCC Id,Responsible ARTCC Computer Id,Responsible ARTCC Name,Tie In FSS,Tie In FSS Id,Tie In FSS Name,FSS Phone Number,FSS Toll Free Number,Alternate FSS Id,Alternate FSS Name,Alternate FSS Toll Free Number,NOTAM Facility Id,NOTAM Service,Activation Date,Airport Status Code,Certification Type Date,Federal Agreements,Airspace Determination,Customs Airport Of Entry,Customs Landing Rights,Military Joint Use,Military Landing Rights,Inspection Method,Inspection Group,Last Inspection Date,Last Owner Information Date,Fuel Types,Airframe Repair,Power Plant Repair,Bottled Oxygen Type,Bulk Oxygen Type,Lighting Schedule,Beacon Schedule,ATCT,UNICOM,CTAF,Segmented Circle,Beacon Color,Non Commercial Landing Fee,Medical Use,Single Engine Aircraft,Multi Engine Aircraft,Jet Engine Aircraft,Helicopters,Gliders Operational,Military Operational,Ultralights,Commercial Operations,Commuter Operations,Air Taxi Operations,GA Local Operations,GA Itin Operations,Military Operations,Operations Date,Airport Position Source,Airport Position Source Date,Airport Elevation Source,Airport Elevation Source Date,Fuel Available,Transient Storage,Other Services,Wind Indicator,Icao Id,NPIAS Hub,NPIAS Role,DD_Latitudes,DD_Longitudes
10,01019.*A,AIRPORT,M18,2022-03-24,ASW,AOK,AR,ARKANSAS,HEMPSTEAD,AR,HOPE,HOPE MUNI,PU,PU,CITY OF HOPE,PO BOX 667,"HOPE, AR 71802",870-777-6701,SUMMER POWELL,PO BOX 667,"HOPE, AR 71802",870-777-7500,033-43-11.9300N,121391.9321N,093-39-32.0500W,0337172.0534W,E,359.2,S,03E,2000.0,,MEMPHIS,4.0,NW,1575.0,ZFW,ZCF,FORT WORTH,ZFW,ZCF,FORT WORTH,N,JBR,JONESBORO,,1-800-WX-BRIEF,,,,JBR,Y,1944-07-01,O,,NPRGY,NOT ANALYZED,N,N,N,Y,S,S,2021-06-17,,100LL A,MINOR,MINOR,,,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2500.0,5000.0,500.0,2021-05-30,FAA-EST,2012-11-08,NGS,2008-08-05,,"HGR,TIE",,Y-L,,,Local,33.71998113888889,-93.65890372222222
11,01028.21*A,AIRPORT,LRF,2022-03-24,ASW,AOK,AR,ARKANSAS,PULASKI,AR,JACKSONVILLE,LITTLE ROCK AFB,MA,PR,"USAF, MAC",LITTLE ROCK AFB,"JACKSONVILLE, AR 72076",,CHIEF OF AFLD MANAGEMENT,LITTLE ROCK AFB,"JACKSONVILLE, AR 72076",501-987-3103,034-55-03.0400N,125703.0436N,092-08-42.0000W,0331722.0037W,E,311.7,E,01E,2010.0,,MEMPHIS,1.0,SE,,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,N,JBR,JONESBORO,,1-800-WX-BRIEF,,,,LRF,Y,,O,,,NOT ANALYZED,N,N,,N,,N,,1976-09-09,,,,,,SS-SR,SS-SR,Y,,,N,CG,,,,,,,,3.0,,,,,,,61350.0,,MILITARY,2015-01-12,MILITARY,2019-11-07,,HGR,CARGO,Y,KLRF,,,34.91751211111111,-92.14500102777778
12,01110.*A,AIRPORT,M19,2022-03-24,ASW,AOK,AR,ARKANSAS,JACKSON,AR,NEWPORT,NEWPORT RGNL,PU,PU,CITY OF NEWPORT,615 3RD ST,"NEWPORT, AR 72112",870-523-6568,THOMAS SANDERS,3800 OPERATIONS DRIVE,"NEWPORT, AR 72112",870-523-3613,035-38-15.8000N,128295.8000N,091-10-35.0000W,0328235.0000W,E,238.9,S,00E,2010.0,,MEMPHIS,5.0,NE,331.0,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,N,JBR,JONESBORO,,1-800-WX-BRIEF,,,,M19,Y,1943-12-01,O,,NGPRY,NOT ANALYZED,N,N,N,Y,S,S,2019-08-01,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,N,CG,N,,17.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,1500.0,7000.0,100.0,2019-08-01,3RD PARTY SURVEY,2007-06-27,3RD PARTY SURVEY,2007-06-27,,TIE,"AGRI,INSTR",Y-L,,,Local,35.63772222222222,-91.1763888888889
13,01118.*A,AIRPORT,ORK,2022-03-24,ASW,AOK,AR,ARKANSAS,PULASKI,AR,NORTH LITTLE ROCK,NORTH LITTLE ROCK MUNI,PU,PU,CITY OF NORTH LITTLE ROCK,PO BOX 5757,"NORTH LITTLE ROCK, AR 72119",501-340-5302,CLAY ROGERS,8202 REMOUNT ROAD,"NORTH LITTLE ROCK, AR 72118",501-835-5654,034-49-59.3000N,125399.3000N,092-15-14.9000W,0332114.9000W,E,545.4,S,02E,2000.0,1000.0,MEMPHIS,4.0,N,621.0,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,N,JBR,JONESBORO,,1-800-WX-BRIEF,,,,JBR,Y,1957-02-01,O,,NGSY,NO OBJECTION,N,N,N,Y,S,S,2021-06-25,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123.075,123.075,Y,CG,N,,50.0,4.0,3.0,4.0,0.0,0.0,0.0,,,1000.0,25000.0,6000.0,200.0,2021-05-30,3RD PARTY SURVEY,2013-11-19,3RD PARTY SURVEY,2013-11-19,,TIE,"CHTR,INSTR,RNTL,SALES",Y-L,KORK,,Regional,34.83313888888889,-92.25413888888889
14,00975.01*A,AIRPORT,XNA,2022-03-24,ASW,AOK,AR,ARKANSAS,BENTON,AR,FAYETTEVILLE/SPRINGDALE/ROGERS,NORTHWEST ARKANSAS NTL,PU,PU,NW ARKANSAS RGNL ARPT AUTH.,"1 AIRPORT BLVD, SUITE 100","BENTONVILLE, AR 72712",479-205-1000,KELLY L JOHNSON,"1 AIRPORT BLVD, SUITE 100","BENTONVILLE, AR 72712",479-205-1000,036-16-53.6900N,130613.6850N,094-18-27.9600W,0339507.9560W,E,1288.2,S,01E,2020.0,,KANSAS CITY,15.0,NW,2184.0,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,N,JBR,JONESBORO,,1-800-WX-BRIEF,,,,XNA,Y,1997-04-01,O,I B S 10/1998,NGY,CONDITIONAL,,,,,S,F,2021-07-26,1997-03-05,100LL A,,,,LOW,SEE RMK,SS-SR,Y,,127.1,Y,CG,,,1.0,3.0,4.0,,,,,12826.0,,2695.0,1060.0,3238.0,8621.0,2021-05-31,FAA-EST,2015-10-15,3RD PARTY SURVEY,2015-10-15,,"HGR,TIE","AFRT,CHTR",Y-L,KXNA,Small,,36.28157916666667,-94.30776555555555
15,01186.*A,AIRPORT,SGT,2022-03-24,ASW,AOK,AR,ARKANSAS,PRAIRIE,AR,STUTTGART,STUTTGART MUNI CARL HUMPHREY FLD,PU,PU,CITY OF STUTTGART,304 S. MAPLE,"STUTTGART, AR 72160",870-673-3535,CARL HUMPHREY,CITY HALL 304 S. MAPLE,"STUTTGART, AR 72160",870-673-2960,034-35-58.1200N,124558.1227N,091-34-30.0000W,0329670.0010W,E,224.4,S,02E,2000.0,,MEMPHIS,7.0,N,2560.0,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,N,JBR,JONESBORO,,1-800-WX-BRIEF,,,,SGT,Y,1943-10-01,O,,NGY,NO OBJECTION,N,N,N,Y,S,S,2022-01-25,,100LL A,NONE,NONE,,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,20.0,3.0,4.0,1.0,0.0,0.0,0.0,,,2200.0,20000.0,35000.0,3500.0,2021-12-31,FAA-EST,2008-08-19,3RD PARTY SURVEY,2005-11-14,,TIE,AGRI,Y,KSGT,,Local,34.599478527777784,-91.57500027777778
16,01197.*A,AIRPORT,ARG,2022-03-24,ASW,AOK,AR,ARKANSAS,LAWRENCE,AR,WALNUT RIDGE,WALNUT RIDGE RGNL,PU,PU,CITY OF WALNUT RIDGE,300 WEST MAIN STREET,"WALNUT RIDGE, AR 72476",870-886-6638,STACY HOGGARD,11 SKY WATCH,"WALNUT RIDGE, AR 72476",870-886-5432,036-07-28.8000N,130048.8000N,090-55-30.4000W,0327330.4000W,E,279.0,S,01E,2000.0,,MEMPHIS,4.0,NE,1800.0,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,N,JBR,JONESBORO,,1-800-WX-BRIEF,,,,ARG,Y,1943-10-01,O,,NGPY,NO OBJECTION,N,N,N,Y,S,S,2020-11-02,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,122.8,122.8,Y,CG,N,,38.0,3.0,1.0,6.0,0.0,0.0,0.0,,,300.0,30000.0,5000.0,2000.0,2020-10-31,3RD PARTY SURVEY,2009-11-01,3RD PARTY SURVEY,2009-11-01,,"HGR,TIE","AFRT,AGRI,INSTR",Y-L,KARG,,Local,36.12466666666667,-90.92511111111112
17,01206.2*A,AIRPORT,AWM,2022-03-24,ASW,AOK,AR,ARKANSAS,CRITTENDEN,AR,WEST MEMPHIS,WEST MEMPHIS MUNI,PU,PU,CITY OF WEST MEMPHIS,PO BOX 1728,"WEST MEMPHIS, AR 72303",870-732-7500,CANDRA SUITER,737 SOUTH AIRPORT RD,"WEST MEMPHIS, AR 72301",870-735-4656,035-08-06.2000N,126486.2000N,090-14-04.0000W,0324844.0000W,E,212.7,S,01E,1995.0,,MEMPHIS,3.0,W,494.0,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,N,JBR,JONESBORO,,1-800-WX-BRIEF,,,,AWM,Y,1964-02-01,O,,NGY,NO OBJECTION,N,N,N,Y,S,S,2021-11-16,,100LL A,MAJOR,MAJOR,NONE,NONE,SEE RMK,SS-SR,N,123.05,123.05,Y,CG,N,,78.0,22.0,4.0,0.0,0.0,0.0,0.0,,,,7000.0,43000.0,200.0,2021-10-31,3RD PARTY SURVEY,2015-10-16,3RD PARTY SURVEY,2015-10-16,,"HGR,TIE","AFRT,CHTR,INSTR,RNTL,SALES",Y-L,KAWM,,Regional,35.13505555555555,-90.23444444444445
18,00977.08*A,AIRPORT,48AR,2022-03-24,ASW,AOK,AR,ARKANSAS,POINSETT,AR,FISHER,WHIRLWIND AVIATION,PR,PR,WHIRLWIND AVIATION INC,"11028 HWY 214 EAST, PO BOX 9","FISHER, AR 72429",870-328-7677,RODNEY SHELLEY,"5901 MALLARD POND LANE, PO BOX 12","FISHER, AR 72429",870-328-7486,035-29-01.5000N,127741.5000N,090-50-27.2500W,0327027.2500W,E,240.0,E,,,,MEMPHIS,6.0,E,,ZME,ZCM,MEMPHIS,ZME,ZCM,MEMPHIS,,JBR,JONESBORO,,1-800-WX-BRIEF,,,,,,2014-07-01,O,,,CONDITIONAL,,,,,2,N,,2020-04-01,,,,,,,,N,,,,,,,2.0,,,,,,,,,,,,,,OWNER,2013-12-13,OWNER,2013-12-13,,,,,,,,35.48375,-90.84090277777777
19,51513.7*A,AIRPORT,FAQ,2022-03-24,AWP,HNL,AS,AMERICAN SAMOA,AMERICAN SAMOA,AS,FITIUTA VILLAGE,FITIUTA,PU,PU,AM SAMOA GOVERNMENT,P.O. BOX 1539,"PAGO PAGO, AS 96799",684-633-4251,TAVITA FUNIMAONO,P.O. BOX 1539,"PAGO PAGO, AS 96799",684-699-9101,014-12-58.0000S,051178.0040S,169-25-24.7800W,0609924.7780W,E,110.4,S,12E,1990.0,,GNC 20,0.0,N,,ZHN,ZHN,HONOLULU CONTROL FACILITY,ZHN,ZHN,HONOLULU CONTROL FACILITY,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,HNL,Y,1990-10-01,O,III A S 06/2005,NGY,NO OBJECTION,,,,,F,F,2020-03-02,,,,,,,SEE RMK,SS-SR,N,,122.9,Y,CG,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,,0.0,0.0,0.0,0.0,2019-09-30,3RD PARTY SURVEY,2018-01-16,3RD PARTY SURVEY,2018-01-16,,,,Y,NSFQ,,Basic,-14.216112222222222,-169.42354944444446
20,51524.1*A,AIRPORT,Z08,2022-03-24,AWP,HNL,AS,AMERICAN SAMOA,AMERICAN SAMOA,AS,OFU VILLAGE,OFU,PU,PU,GOVT OF AMERICAN SAMOA,PO BOX 1539,"PAGO PAGO, AS 96799",684-633-4251,TAVITA FUIMAONO,"GOVT OF AMERICAN SAMOA, PO BOX 1539","PAGO PAGO, AS 96799",684-699-9101,014-11-03.6400S,051063.6350S,169-40-12.3600W,0610812.3600W,E,12.2,S,12E,1985.0,,GNC 20,1.0,SE,18.0,ZHN,ZHN,HONOLULU CONTROL FACILITY,ZHN,ZHN,HONOLULU CONTROL FACILITY,N,HNL,HONOLULU,,1-800-WX-BRIEF,,,,HNL,Y,1975-01-01,O,III A S 06/2005,N,NO OBJECTION,N,N,,,S,F,2020-03-02,,,NONE,NONE,,,,,N,122.95,122.95,Y,,Y,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,,0.0,0.0,0.0,0.0,2019-09-30,3RD PARTY SURVEY,2018-01-23,3RD PARTY SURVEY,2018-01-23,,,,Y,NSAS,,Basic,-14.184343055555555,-169.6701
21,00648.*A,AIRPORT,CHD,2022-03-24,AWP,PHX,AZ,ARIZONA,MARICOPA,AZ,CHANDLER,CHANDLER MUNI,PU,PU,CITY OF CHANDLER,175 S. ARIZONA AVE,"CHANDLER, AZ 85225",480-782-2200,RYAN REEVES,"CHANDLER MUNICIPAL AIRPORT, MS 802, PO BOX 4008","CHANDLER, AZ 85244",480-782-3540,033-16-08.7500N,119768.7460N,111-48-40.0400W,0402520.0360W,E,1243.4,S,12E,2000.0,1057.0,PHOENIX,3.0,SE,550.0,ZAB,ZCA,ALBUQUERQUE,ZAB,ZCA,ALBUQUERQUE,N,PRC,PRESCOTT,,1-800-WX-BRIEF,,,,CHD,Y,,O,,NGY,NO OBJECTION,N,N,N,Y,S,C,2021-04-15,,100LL A+,MAJOR,MAJOR,HIGH/LOW,,SEE RMK,SS-SR,Y,122.95,126.1,Y,CG,N,,380.0,32.0,8.0,23.0,1.0,0.0,1.0,,,4240.0,145830.0,88790.0,440.0,2020-12-31,NGS,2019-11-01,NGS,2019-11-01,,TIE,"AGRI,AVNCS,CHTR,INSTR,RNTL,SALES",Y-L,KCHD,,Regional,33.26909611111111,-111.81112111111112
